english,hungarian
cries,sír
stanley,Stanley
rita,rita
southern,déli
blocks,blokkok
emotions,érzelmek
begun,megkezdett
maya,maya
liver,máj
serving,szolgáló
matches,mérkőzések
surgeon,sebész
granted,megadott
jazz,dzsessz
july,július
supplies,kellékek
deeper,mélyebbre
typical,tipikus
kicking,rugdosni
obey,engedelmeskedik
dancer,táncos
remote,távoli
daughters,lányai
moron,idióta
latin,latin
teachers,tanárok
toby,toby
sandy,homokos
dragged,vonszolta
strategy,stratégia
parent,szülő
jin,jin
album,album
compared,összehasonlítva
rubbish,szemét
helpful,hasznos
powder,por
sync,szinkronizál
bum,ingyenélő
passes,passzol
joan,joan
fort,erőd
choices,választási lehetőségeket
alley,sikátor
supper,vacsora
penis,hímvessző
alibi,alibi
sammy,sammy
pole,pólus
coke,koksz
scientist,tudós
fighter,harcos
highway,autópálya
blade,penge
alpha,alfa
diet,diéta
liquor,folyadék
jet,sugárhajtású
widow,özvegy
liberty,szabadság
philip,Philip
moral,erkölcsi
carrie,carrie
award,díj
grief,bánat
thirsty,szomjas
ashley,Ashley
random,véletlen
suspects,gyanúsítottak
intention,szándék
julian,Julian
active,aktív
tools,eszközöket
driven,hajtott
trauma,sérülés
headache,fejfájás
safely,biztonságosan
alexander,Sándor
knee,térd
lads,legények
novel,regény
conversations,beszélgetések
waters,vizek
lookin,nézi
invisible,láthatatlan
internal,belső
peaceful,békés
humming,zümmögő
washed,mosott
drives,meghajtók
talented,tehetséges
li,li
aid,támogatás
elephant,elefánt
troubles,bajok
core,mag
serial,sorozatszám
s-,s-
painted,festett
the,a
divine,isteni
jam,lekvár
goat,kecske
opera,opera
thieves,tolvajok
guessing,találgatni
objection,kifogás
whiskey,whisky
florida,Florida
resistance,ellenállás
dressing,öltözködés
attached,csatolt
aaron,Aaron
brief,rövid
punish,megbüntetni
eternal,örök
lois,lois
and,és
required,kívánt
victoria,victoria
fabulous,mesés
twins,Ikrek
characters,karakterek
cooked,főtt
ln,ln
ruth,Ruth
dreamed,álmodott
arts,művészetek
naughty,rossz
stabbed,leszúrta
tend,hajlamosak
diane,diane
tap,csap
soap,szappan
locker,öltözőszekrény
development,fejlesztés
images,képeket
prick,pöcs
global,globális
string,húr
bitter,keserű
sharing,megosztás
corn,kukorica
craig,craig
fits,illik
tent,sátor
forms,formák
votes,szavazatokat
harold,Harold
propose,javasol
monica,Monica
constantly,állandóan
granny,nagyi
nicely,szépen
nerves,idegek
arguing,vitatkozva
abuse,visszaélés
relatives,rokonai
survival,túlélés
gloves,kesztyűt
tracking,követés
zoe,zoe
u,u
bend,kanyar
review,felülvizsgálatát
connect,csatlakozni
separated,elválasztott
elder,idősebb
beard,szakáll
admiral,admirális
diana,Diana
salary,fizetés
areas,területeken
disturb,zavarni
pro,pro
maintain,fenntartani
solved,megoldva
wealth,jólét
bitches,szukák
possession,birtoklása
sang,énekelt
gimme,gimme
plates,lemezeket
shoulders,vállak
burnt,megégett
recorded,rögzített
upper,felső
counts,számít
tale,mese
profit,nyereség
colleague,kolléga
warehouse,raktár
hostage,túsz
shore,partján
porn,pornó
miami,miami
fifteen,tizenöt
visitors,látogatók
bo,bo
net,nettó
insult,sértés
owen,owen
cities,városok
causing,okozó
lemon,citrom
heal,gyógyít
banging,dörömbölni
honeymoon,nászút
appeal,fellebbezés
marshall,marshall
critical,kritikai
creating,létrehozása
scotland,Skócia
crane,daru
enormous,hatalmas
testimony,bizonyság
praise,dicséret
fights,harcok
indians,indiánok
commission,jutalék
growls,morog
nicole,nicole
sins,bűnök
fraud,csalás
branch,ág
happily,boldogan
bout,küzdelem
covering,burkolat
occurred,történt
beans,bab
raw,nyers
muscle,izom
pages,oldalakat
tense,feszült
relationships,kapcsolatokat
management,menedzsment
assignment,kijelölés
blonde,szőke
catching,fogása
exposed,kitett
canada,Kanada
dont,ne
han,han
von,von
comedy,komédia
marco,marco
stroke,stroke
whistling,fütyülő
buildings,épületek
shaking,rázás
p.m.,p.m.
facility,létesítmény
appropriate,megfelelő
remarkable,figyelemre méltó
transferred,át
drawn,húzott
tits,mellek
clicking,kattintással
symbol,szimbólum
motor,motor
employees,alkalmazottak
ambassador,nagykövet
mothers,anyák
pile,halom
feeding,táplálás
soda,szóda
checks,ellenőrzi
bears,medvék
cookies,sütiket
slut,kurva
awfully,szörnyen
stepped,lépett
toys,játékok
levels,szinteket
differently,eltérően
magnificent,nagyszerű
steak,steak
tube,cső
leaders,vezetők
superior,felsőbbrendű
herr,herr
pan,Pán
expression,kifejezés
currently,jelenleg
throne,trón
deadly,halálos
bee,méh
tooth,fog
depressed,nyomott
potatoes,burgonya
wicked,gonosz
resources,erőforrás
native,bennszülött
centuries,században
karl,karl
poetry,költészet
multiple,több-
cable,kábel
shortly,hamarosan
buzz,zümmögés
socks,zokni
fingerprints,ujjlenyomatok
goddess,istennő
chin,áll
anxious,aggódó
september,szeptember
colors,színek
basketball,kosárlabda
promises,ígéretek
explained,magyarázta
appearance,megjelenés
musical,zenei
sends,küld
slide,csúszik
aii,aii
shawn,Shawn
ultimate,végső
pork,sertéshús
communication,kommunikáció
payment,fizetés
structure,szerkezet
paperwork,papírmunka
obsessed,megszállottan
lazy,lusta
russians,oroszok
actors,szereplők
squeeze,présel
magical,mágikus
colleagues,kollégák
admire,csodál
madness,őrültség
roads,utak
entry,belépés
injury,sérülés
burden,teher
racing,verseny
manner,módon
freezing,fagyasztó
bits,bitek
norman,normann
mount,hegy
battery,akkumulátor
dessert,desszert
pound,font
visited,meglátogatta
motel,motel
rumbling,dörgés
cinema,mozi
fond,szereti
halfway,félúton
rifle,puska
reception,recepció
statue,szobor
fridge,hűtőszekrény
brick,tégla
abandon,elhagyni
lap,körben
natalie,natalie
wars,háborúk
recommend,ajánlani
brush,kefe
nelson,nelson
pill,tabletta
concept,koncepció
w,w
delay,késleltetés
quarters,szállás
korea,Korea
janet,janet
rub,dörzsölje
mall,bevásárlóközpont
soil,talaj
complaint,panasz
sail,vitorla
baker,pék
coughs,köhögés
bucket,vödör
description,leírás
badge,jelvény
measure,intézkedés
hip,csípő
function,funkció
indistinctly,határozatlanul
harris,harris
foundation,alapítvány
labor,munkaerő
willie,Willie
waiter,pincér
homeless,hajléktalan
proved,bizonyított
unfortunate,szerencsétlen
log,log
meetings,találkozók
giggles,kuncog
combat,harc
poem,vers
polish,lengyel
handed,átnyújtotta
mia,mia
weed,gyom
raymond,raymond
tons,tonna
satellite,műhold
jersey,mez
eagle,sas
privacy,magánélet
chapter,fejezet
treating,kezelésében
wisdom,bölcsesség
flip,flip
entering,belépő
barn,istálló
farmer,gazda
clan,klán
budget,költségvetés
pub,kocsma
temporary,ideiglenes
effective,hatékony
sonny,fiacskám
wendy,wendy
juan,juan
lamb,bárány
plot,telek
riley,Riley
proposal,javaslat
sticks,botok
searched,keresett
blessing,áldás
rage,harag
bothered,zavarta
sydney,sydney
basis,alapon
manners,modor
recover,visszaszerez
twist,csavar
neil,neil
leak,szivárog
item,tétel
catholic,katolikus
sighing,sóhajtva
retired,nyugdíjas
kings,királyok
inner,belső
cents,cent
affect,befolyásolni
forbidden,tiltott
patch,tapasz
drops,cseppek
necessarily,szükségszerűen
provided,feltéve
meters,méter
booked,lefoglalt
returns,visszatér
gloria,gloria
fires,tüzek
humor,humor
torn,szakadt
e-mail,email
rocky,sziklás
introduced,bevezették
creative,alkotó
betray,elárul
soviet,szovjet
various,különféle
added,tette hozzá
discovery,felfedezés
cowboy,cowboy
suspected,feltételezett
suggested,javasolta
delighted,elragadtatva
sticking,ragasztás
dive,merülés
shane,shane
radar,radar
prosecutor,ügyész
amber,borostyán
vast,hatalmas
quinn,quinn
owned,tulajdonában van
cookie,süti
finest,legfinomabb
felix,felix
pump,szivattyú
valentine,szerető
counter,ellen
sorts,fajták
coin,érme
warren,warren
slaves,rabszolgák
marine,tengeri
illness,betegség
sack,zsák
bid,ajánlatot
require,igényelnek
moscow,moszkva
largest,legnagyobb
washing,mosás
achieve,elérni
causes,okozza
k,k
mo,mo
dope,kábítószer
nest,fészek
palm,tenyér
logan,logan
constant,állandó
b.,b.
boo,lehurrogás
medication,gyógyszer
gravity,gravitáció
booze,nyakal
noah,Noé
evan,evan
abroad,külföldön
christine,Christine
rising,felkelés
analysis,elemzés
cuts,vágások
eats,eszik
employee,munkavállaló
vodka,vodka
damaged,sérült
solar,nap
height,magasság
pops,felpattan
yards,yard
terrified,rémülten
suitcase,bőrönd
chemical,kémiai
preparing,előkészítése
advanced,fejlett
fund,alap
wears,visel
chirping,csiripelés
web,web
phase,fázis
prom,bál
suggesting,azt sugallva
fleet,flotta
lame,béna
irish,ír
editor,szerkesztő
october,október
assumed,feltételezte
whip,ostor
mel,mel
region,régióban
amongst,között
temper,indulat
discussion,vita
engines,motorok
operate,működik
sunshine,napfény
acted,cselekedett
undercover,titkos
horror,borzalom
tested,tesztelve
smash,összetör
contrary,ellentétes
roses,rózsákat
poker,póker
wrapped,csomagolt
korean,koreai
graham,Graham
mi,mi
fu,fu
ivan,ivan
focused,összpontosított
liam,liam
tragic,tragikus
carla,carla
demons,démonok
rounds,fordulóban
entertainment,szórakozás
gathered,összegyűjtött
uhh,uhh
yells,ordít
lincoln,lincoln
crossing,átkelés
blanket,takaró
nut,dió
travis,travis
pockets,zsebek
limited,korlátozott
paintings,festmények
sober,józan
caesar,Caesar
sis,nővér
intended,szándékolt
niece,unokahúg
computers,számítógépek
tennis,tenisz
needle,tű
chicks,csajok
traditional,hagyományos
delicate,finom
independent,független
leslie,leslie
lauren,Lauren
grandson,unokája
repair,javítás
a.,a.
brandon,brandon
executive,végrehajtó
colin,colin
recognized,felismerte
holmes,holmes
regarding,tekintetében
weakness,gyengeség
aliens,idegenek
gunshots,lövéseket
european,európai
method,módszer
tool,eszköz
demands,követeli
permit,engedély
towel,törülköző
daisy,százszorszép
nowadays,manapság
spider,pók
northern,északi
rangers,rangers
zoo,állatkert
praying,imádkozás
antonio,antonio
passengers,utasok
con,con
australia,Ausztrália
technique,technika
cellphone,mobiltelefon
gently,gyengéden
operations,műveleteket
planes,repülőgépek
bunny,nyuszi
gunfire,ágyúzás
shining,csillogó
backwards,visszafelé
skill,készség
uh-,uh-
baron,báró
kidnapping,emberrablás
iike,iike
marshal,marsall
petty,piti
sealed,zárt
massage,masszázs
raising,emelés
menu,menü
diary,napló
fucker,kurva
wagon,kocsi
audition,meghallgatás
mitch,mitch
mexican,mexikói
casino,kaszinó
bacon,szalonna
diego,diego
dutch,holland
promotion,promóció
click,kattintson
forgiveness,megbocsátás
burst,robbanás
permanent,állandó
interfere,beavatkozni
chanting,kántálás
dammit,a fenébe
spencer,spencer
recovered,felépült
registered,bejegyzett
sunny,napos
packing,csomagolás
scenes,jelenetek
superman,felsőbbrendű ember
questioning,kérdezősködni
unfair,tisztességtelen
admitted,elismerte
ancestors,ősök
polite,udvarias
completed,elkészült
swallow,nyelés
conduct,magatartás
prayers,imák
sheet,lap
fried,sült
avenue,sugárút
poisoned,megmérgezve
reverse,fordított
newspapers,újságok
ford,ford
complaining,panaszkodva
senses,érzékszervek
investment,beruházás
absurd,abszurd
potato,burgonya
understands,érti
grows,nő
inspired,ihletett
ruby,rubin
celebrating,ünnepelve
tag,címke
ram,ram
requires,megköveteli
bonnie,Bonnie
bugs,hibákat
leonard,leonard
elliot,elliot
hooked,hajlott
jill,jill
ranch,tanya
safer,biztonságosabb
worn,kopott
crashing,összeomlik
lands,földeket
heather,hanga
ash,hamu
leather,bőr
grounds,okokból
assuming,feltételezve
nails,körmök
dana,dana
conspiracy,összeesküvés
thanksgiving,hálaadás
pierre,pierre
guardian,gyám
rumors,pletykák
yen,jen
megan,megan
ashes,hamu
terror,terror
misunderstanding,félreértés
tire,gumi
boats,csónakok
parade,felvonulás
halt,Állj
immunity,immunitás
adults,felnőttek
steam,gőz
kang,kang
closely,szorosan
pearl,gyöngyszem
soccer,futball
adrian,adrian
priority,prioritás
shouts,kiabál
donald,Donald
happier,boldogabb
khan,kán
struggling,küszködik
root,gyökér
larger,nagyobb
november,november
boot,csomagtartó
conflict,konfliktus
laughed,nevetett
debbie,Debbie
cherry,cseresznye
honking,dudálva
concerns,aggályokat
celebration,ünneplés
sore,fájó
unconscious,öntudatlan
cattle,marha
breasts,mellek
fairly,meglehetősen
fee,díj
recognise,felismerni
wade,átgázol
radiation,sugárzás
holidays,ünnepek
raining,esik az eső
forgetting,elfelejtve
lungs,tüdő
register,nyilvántartás
shadows,árnyékok
specifically,konkrétan
sarge,sarge
ideal,ideál
turtle,teknősbéka
spoil,zsákmány
deserved,megérdemelt
ronnie,ronnie
gina,gina
candidate,jelölt
lance,lándzsa
types,típusok
bloke,pasas
explode,felrobban
immediate,azonnali
belonged,tartozott
identified,azonosított
di,di
hunger,éhség
closest,legközelebb
combination,kombináció
nanny,dajka
seth,seth
gabriel,gabriel
develop,fejleszteni
detectives,nyomozók
severe,szigorú
en,hu
organized,szervezett
franklin,Franklin
gut,belek
splendid,pompás
dismissed,elbocsátották
pm,pm
yang,yang
halloween,halloween
ellie,ellie
vulnerable,sebezhető
continued,folytatta
vital,létfontosságú
comrades,elvtársak
bureau,hivatal
drawer,fiók
harper,hárfa
retreat,visszavonulás
carson,carson
benny,benny
pillow,párna
troy,Trója
ace,ász
cart,szekér
nap,szundikál
chan,chan
ham,sonka
announce,bejelenteni
borrowed,kölcsönzött
parked,leparkolt
galaxy,galaxis
voted,szavazott
muffled,fojtottan
sebastian,Sebastian
mmm-hmm,mmm-hmm
jewelry,ékszerek
kisses,csókok
luggage,poggyász
groom,vőlegény
oops,hopp
lighter,öngyújtó
masters,mesterek
alliance,szövetség
buddies,haverok
clothing,ruházat
denied,tagadta
drown,megfullad
alike,hasonló
excellency,kiválóság
relative,relatív
photographs,fényképeket
burger,burger
dough,tészta
alicia,Alicia
wreck,roncs
approve,jóváhagyni
produced,előállított
christina,Christina
physically,fizikailag
stations,állomások
eli,eli
samantha,samantha
spiritual,lelki
sire,uram
roaring,ordítozó
stab,szúr
inch,hüvelyk
servants,szolgák
limits,határait
unexpected,váratlan
arrival,érkezés
whimpering,nyöszörögve
basket,kosár
sheets,ágynemű
scandal,botrány
stink,bűz
homer,Homérosz
tara,tara
christopher,Christopher
toes,lábujjak
t-,t-
shield,pajzs
shooter,vadász
instant,azonnali
objects,tárgyakat
rehearsal,próba
disturbing,zavaró
directed,irányította
scan,letapogatás
electronic,elektronikus
republic,köztársaság
overnight,éjszakai
counsel,tanács
sirens,szirénák
dorothy,dorothy
bait,csali
dignity,méltóság
explains,magyarázza
lean,sovány
heroin,heroin
tracy,tracy
rex,rex
barney,barney
gossip,pletyka
humble,alázatos
economy,gazdaság
worlds,világok
impress,lenyűgözni
clara,Clara
tissue,szövet
threaten,fenyeget
et,et
bump,ütődés
supreme,legfőbb
bingo,bingó
mitchell,mitchell
excitement,izgalom
mankind,emberiség
document,dokumentum
broad,széles
vietnam,Vietnam
vessel,edény
lit,megvilágított
dale,völgy
killers,gyilkosok
connor,connor
mario,mario
foul,szabálytalan
stare,bámul
deaths,halálozások
hut,kunyhó
elements,elemeket
coma,kóma
laying,lefektetés
coffin,koporsó
paula,paula
cocaine,kokain
puppy,kölyökkutya
louder,hangosabban
handled,kezelt
announcement,közlemény
oath,eskü
mob,csőcselék
cotton,pamut
deposit,letét
taxes,adókat
injuries,sérülések
jen,jen
autopsy,boncolás
advise,tanácsot ad
gig,koncert
lecture,előadás
posted,közzétéve
skinny,sovány
lo,íme
include,tartalmazza
revealed,kiderült
infected,fertőzött
relieved,megkönnyebbülten
assistance,támogatás
solo,szóló
determine,határozzák meg
terrorists,terroristák
elsewhere,máshol
lamp,lámpa
practical,gyakorlati
marked,megjelölt
adorable,imádni való
rubber,gumi
purple,lila
operating,üzemeltetési
suite,kíséret
apologies,elnézést
personnel,személyzet
beam,gerenda
poet,költő
samples,minták
arrow,nyíl
counselor,tanácsadó
carpet,szőnyeg
allen,allen
audrey,Audrey
spotted,foltos
floating,úszó
corrected,javítva
located,található
journalist,újságíró
insisted,ragaszkodott hozzá
operator,operátor
rely,támaszkodni
singh,singh
fooled,megbolondítva
arrives,érkezik
i.d.,i.d.
leon,Leon
walt,walt
eastern,keleti
ay,igen
shave,borotválkozás
remaining,többi
toss,dobás
anderson,anderson
lip,ajak
acid,sav
nora,nora
si,si
december,december
anonymous,névtelen
inn,vendéglő
planted,beültetett
oldest,legrégebbi
breast,mell
sixth,hatodik
error,hiba
reporting,jelentéstétel
egypt,Egyiptom
islands,szigetek
brother-in-law,sógor
jules,jules
roommate,szobatárs
sings,énekel
scum,hab
visitor,látogató
giggling,kuncogva
described,leírta
geez,istenem
inches,hüvelyk
commitment,elkötelezettség
hercules,Herkules
react,reagál
cows,tehenek
protest,tiltakozás
misery,szenvedés
theft,lopás
embrace,ölelés
darn,stoppol
harsh,durva
andrea,Andrea
communicate,közölni
fathers,apák
faithful,hűséges
hector,Hector
uh-uh,uh-úú
flame,láng
medal,érem
silk,selyem
photographer,fényképész
trevor,trevor
cemetery,temető
rear,hátulsó
freddy,freddy
banana,banán
allison,allison
emotion,érzelem
chap,pasas
dated,keltezett
excuses,kifogásokat
shitty,szar
bin,bin
jew,zsidó
gum,gumi
crushed,összetörve
efforts,erőfeszítések
content,tartalom
corporal,tizedes
realised,rájött
del,del
rap,rap
hopeless,reménytelen
debate,vita
era,korszak
luckily,szerencsére
ton,tonna
liquid,folyékony
swell,dagad
peggy,pörgős
feast,ünnep
murphy,murphy
attracted,vonzott
application,alkalmazás
profession,szakma
bench,pad
vanessa,vanessa
ahem,ahm
symptoms,tünetek
scout,felderítő
crashed,lezuhant
keen,lelkes
aircraft,repülőgép
formed,kialakult
hon,hon
aggressive,agresszív
pale,sápadt
significant,jelentős
duncan,duncan
clubs,klubok
visual,vizuális
embassy,nagykövetség
defence,védelem
cabinet,szekrény
display,kijelző
fame,hírnév
gibbs,gibbs
drowned,fulladt
wolves,farkasok
filming,filmezés
dunno,nem tudom
cursed,átkozott
twin,iker
sorrow,bánat
vault,boltozat
defeated,legyőzött
watson,watson
quote,idézet
penalty,büntetés
bargain,alku
pepper,bors
speaker,hangszóró
compare,összehasonlítani
satan,Sátán
helmet,sisak
scar,sebhely
copies,másolatokat
fuss,felhajtás
envelope,boríték
perry,körtebor
stinks,bűzlik
african,afrikai
arrangements,megállapodásokat
wished,kívánta
honored,megbecsült
believing,hinni
discussed,megbeszélték
assigned,kijelölt
rosa,rosa
oven,sütő
jenna,jenna
attacking,támadó
tin,ón
sonic,szonikus
collar,gallér
mere,puszta
romeo,rómeó
belief,hit
storage,tárolás
rusty,rozsdás
psycho,pszicho
climbing,mászó
melissa,méhfű
fears,félelmek
sum,összeg
dedicated,dedikált
ladder,létra
alternative,alternatív
raid,rajtaütés
dining,étkező
ms,ms
corporate,társasági
folk,népi
jon,jon
replaced,lecserélték
bailey,Bailey
un,ENSZ
heels,sarok
duties,kötelességek
smarter,okosabb
existed,létezett
surprising,meglepő
chess,sakk
requested,kérte
cruise,hajókázás
primary,elsődleges
rhythm,ritmus
drum,dob
models,modellek
motorcycle,motorkerékpár
adopted,fogadott
barrel,hordó
cargo,rakomány
planets,bolygók
shove,lök
wha,izé
surprises,meglepetéseket
rosie,rosie
dings,kopog
trailer,utánfutó
cannon,ágyú
tables,táblázatok
arse,szamár
ally,szövetséges
lawrence,Lawrence
wee,pici
tapes,szalagok
dull,unalmas
sandra,sandra
teenage,tizenéves
kent,Kent
cooperate,együttműködik
risks,kockázatokat
dug,ásta
worthless,értéktelen
arriving,érkező
kindness,kedvesség
ties,nyakkendők
items,tételeket
and-,és-
grip,markolat
relations,kapcsolatokat
rumor,szóbeszéd
skirt,szoknya
frog,béka
paige,paige
lloyd,Lloyd
claimed,állította
perfume,parfüm
instrumental,hangszeres
flames,lángok
association,egyesület
loses,veszít
january,január
spike,tüske
israel,Izrael
eleven,tizenegy
gallery,galéria
ginger,gyömbér
activities,tevékenységeket
iraq,Irak
boarding,beszállás
fist,ököl
stuffed,töltött
improve,javítani
creation,Teremtés
connie,connie
infection,fertőzés
strikes,sztrájkol
wiped,letörölték
tension,feszültség
whistles,fütyül
kindly,kedvesen
certificate,bizonyítvány
curtis,curtis
bold,bátor
threats,fenyegetések
claudia,claudia
sid,sid
twisted,sodrott
suspended,felfüggesztett
affected,érintett
envy,irigység
whale,bálna
dial,tárcsa
cameron,cameron
martial,harcias
controlled,ellenőrzött
lung,tüdő
nigga,nigga
coal,szén
upside,fejjel
imperial,császári
pam,pam
paranoid,paranoid
signing,aláírás
congress,Kongresszus
villa,villa
candles,gyertyák
filling,töltő
becky,Becky
comic,komikus
faint,elájul
recovery,felépülés
volunteer,önkéntes
tech,tech
bleed,vérzik
positions,pozíciókat
cindy,cindy
narrow,keskeny
forbid,tiltani
stuart,stuart
perspective,perspektíva
faced,arccal
neat,tiszta
pierce,átszúrni
observe,megfigyelni
cycle,ciklus
psychic,lelki
handling,kezelés
goose,liba
accidentally,véletlenül
conclusion,következtetés
designer,tervező
sits,ül
importance,fontosságát
spots,foltok
francs,frank
sweep,söpörni
destroying,pusztító
communist,kommunista
blackmail,zsarolás
pacific,békés
risky,kockázatos
glorious,dicső
filed,iktatott
hatred,gyűlölet
cam,bütyök
deals,ajánlatokat
pos,pozíció
fooling,bolondozás
persons,személyek
scotch,skót
executed,kivégezték
brakes,fékek
blank,üres
tender,tender
kurt,kurt
turner,esztergályos
tub,kád
sucker,szívó
slight,enyhe
addition,kiegészítés
campus,egyetem
ritual,szertartás
prey,zsákmány
so-called,úgynevezett
graduate,diplomás
anyways,amúgy
ew,ew
fry,süt
genuine,valódi
ned,ned
judging,ítélkezés
doubts,kétségek
warden,gondnok
ceiling,mennyezet
practicing,gyakorló
somewhat,némileg
established,alapított
attempted,megkísérelte
zombie,zombi
generations,generációk
yöu,te
gathering,összejövetel
warriors,harcosok
mick,mick
electrical,elektromos
collins,collins
sobs,zokog
couples,párok
depend,függ
institute,intézet
miranda,miranda
principle,alapelv
fixing,rögzítő
therapist,terapeuta
compete,versenyez
compliment,bók
worship,imádat
residence,lakóhely
democracy,demokrácia
joel,joel
published,közzétett
myth,mítosz
helpless,tehetetlen
screwing,csavarozás
kennedy,kennedy
execution,végrehajtás
appetite,étvágy
formal,hivatalos
strictly,szigorúan
sucked,szívott
tanks,tankok
chickens,csirkék
gwen,gwen
technical,műszaki
stella,stella
rod,rúd
meets,találkozik
shepherd,pásztor
brazil,Brazília
brutal,brutális
alison,alison
vain,hiú
switched,váltott
chi,chi
deer,szarvas
brooklyn,brooklyn
dresses,ruhák
retire,visszavonul
overcome,legyőzni
inspiration,ihlet
cunt,köcsög
benjamin,Benjámin
nicky,nicky
thrilled,izgatott
tae,tae
suggestion,javaslat
dummy,színlelt
sailor,tengerész
destination,rendeltetési hely
bass,basszus
picnic,piknik
assholes,seggfejek
idol,bálvány
trucks,teherautók
rank,rang
denise,denise
yu,yu
veronica,veronika
blocked,zárolt
strict,szigorú
hiya,szia
formula,képlet
clerk,hivatalnok
samurai,szamuráj
disturbed,zavart
vera,vera
cafe,kávéház
wandering,vándorlás
consciousness,tudatosság
val,val
nikki,nikki
min,min
bare,csupasz
hans,hans
caleb,Caleb
butcher,hentes
arrangement,elrendezés
chased,üldözött
ministry,minisztérium
brandy,pálinka
sweater,pulóver
boobs,mellek
locate,keresse meg
apologise,bocsánatot kérni
nazi,náci
parole,feltételes szabadságra bocsátás
examine,megvizsgálni
trains,vonatok
candle,gyertya
prior,előzetes
stream,folyam
that-,hogy-
passage,átjáró
reaching,elérve
organ,szerv
directions,irányokat
asses,szamarak
outer,külső
proves,bizonyítja
morris,morris
luxury,luxus
pistol,pisztoly
v,v
losers,vesztesek
funds,alapok
sunset,napnyugta
strings,húrok
fortunately,szerencsére
gotcha,megvan
tomb,sír
freddie,freddie
but-,de-
engineering,mérnöki
element,elem
balloon,ballon
ty,ty
broadcast,adás
spray,permet
ninja,nindzsa
eternity,örökkévalóság
handy,ügyes
to-,-
crawl,kúszni
slice,szelet
nations,nemzetek
behaviour,viselkedés
pace,ütemben
stiff,merev
lick,nyalás
concrete,konkrét
allah,Allah
vegetables,zöldségek
euros,eurót
sausage,kolbász
constable,rendőr
spinning,fonás
rolls,tekercs
genetic,genetikai
loudly,hangosan
old-fashioned,régimódi
marvelous,csodálatos
subway,metró
creep,kúszás
scheme,rendszer
performed,teljesített
ex-wife,volt felesége
plug,dugó
rejected,elutasítva
brenda,brenda
respected,tisztelt
backs,hátul
protocol,jegyzőkönyv
muscles,izmok
kidney,vese
finishing,végső
products,termékek
im,im
wu,wu
invasion,invázió
affection,szeretet
woody,fás
endless,végtelen
discipline,fegyelem
horns,szarvak
absence,távollét
waking,ébredés
dudes,haverok
philosophy,filozófia
cracked,repedt
nicholas,Miklós
reed,nád
verdict,ítélet
drake,gácsér
connections,kapcsolatokat
privilege,kiváltság
anyhow,mindenesetre
scent,illat
naive,naiv
daylight,napfény
controls,vezérlők
airplane,repülőgép
values,értékeket
jolly,vidám
swore,megesküdött
blaring,harsogva
consent,hozzájárul
puzzle,rejtvény
disagree,nem ért egyet
argh,argh
winds,szelek
vanished,eltűnt
wizard,varázsló
ranger,vadőr
celebrity,híresség
sniffles,szipog
stores,üzletek
aha,aha
intentions,szándékait
plague,pestis
farmers,gazdálkodók
breeze,szellő
rascal,gazember
convenient,kényelmes
bonus,bónusz
dong,dong
hush,Csitt
instinct,ösztön
entitled,jogosult
porter,hordár
maurice,maurice
wrist,csukló
originally,eredetileg
coins,érméket
drain,csatorna
physics,fizika
phoebe,phoebe
furious,dühös
sniffs,szipog
vampires,vámpírok
defending,védekező
sector,ágazat
income,jövedelem
finn,finn
offended,megsértődött
decides,dönt
laser,lézer
fled,elmenekült
beers,sörök
boxing,boksz
accurate,pontos
kung,kung
snakes,kígyók
thumb,hüvelykujj
bald,kopasz
sharon,Sharon
suspicion,gyanú
convicted,elítélt
roots,gyökerei
shares,részvényeket
bernard,bernard
jessie,Jessie
wang,wang
harrison,Harrison
blues,blues
confusing,zavaró
lobby,előcsarnok
recipe,receptet
las,las
winston,Winston
generally,általában
seeking,keresve
secretly,titkosan
declare,kijelentik
freaked,tarka
missile,rakéta
ensure,biztosítsa
tricky,trükkös
pointed,hegyes
hockey,jégkorong
bubble,buborék
contacts,kapcsolatokat
maximum,maximális
reminded,emlékeztetett
carriage,kocsi
curtain,függöny
clues,nyomokat
hostages,túszokat
circles,körökben
author,szerző
wallace,Wallace
receiving,fogadása
debts,adósságok
cellar,pince
tortured,megkínozták
tips,tippeket
mates,cimborák
mortal,halandó
reporters,riporterek
associate,társult
honesty,becsületesség
laptop,laptop
jung,jung
katherine,katherine
rainbow,szivárvány
seed,mag
mature,érett
deed,tett
kay,kay
expenses,költségek
discussing,megvitatása
pirate,kalóz
meals,étkezések
performing,előadó
remained,maradt
prostitute,prostituált
adams,Adams
retirement,nyugdíjazás
platform,platformon
claus,záradék
erica,erica
beds,ágyak
writes,írja
illusion,illúzió
mill,malom
dealt,foglalkozott
hears,hallja
tryin,próbálkozik
manhattan,Manhattan
mole,anyajegy
rang,csengett
prosecution,vád
fatal,halálos
copper,réz
troubled,zavaros
heir,örökös
traces,nyomait
owners,tulajdonosok
length,hossz
dentist,fogorvos
zach,zach
lesbian,leszbikus
enterprise,vállalkozás
tournament,versenyen
travelling,utazó
confessed,bevallotta
roast,sült
website,weboldal
ja,ja
mikey,mikey
flood,árvíz
harbor,kikötő
lola,lola
rory,rory
richie,richie
mansion,kastély
mademoiselle,mademoiselle
auction,árverés
desires,vágyak
bachelor,agglegény
haunted,kísértetjárta
distracted,zaklatott
smashed,összetört
rodney,Rodney
scheduled,ütemezve
negotiate,tárgyalni
champ,bajnok
