german,hungarian
jay,Jay
stücke,darabok
angela,Angela
kühlschrank,hűtőszekrény
identifizieren,azonosítani
lehrerin,tanár
francisco,francisco
kameras,kamerák
zentrale,központi
jäger,vadász
josh,Megtréfál
wayne,Wayne
wenden,megfordul
we,mi
holst,elhozni
suchte,keresett
start,indul
füßen,lábát
unglücklich,boldogtalan
frohe,boldog
sand,homok
pfarrer,pap
plus,plusz
nancy,Nancy
brachten,hozott
zauber,mágikus
berühren,érintés
rückkehr,visszatérés
hafen,kikötő
indianer,indián
miller,molnár
verschwenden,hulladék
untersucht,vizsgált
königs,királyi
jean,farmer
lese,olvas
stahl,acél
hättet,volna
affen,majmok
worten,szavak
kindheit,gyermekkor
gewollt,akarta
op,op
vermeiden,elkerül
fabrik,gyár
aussagen,tanúskodni
wunderbare,csodálatos
grandpa,nagypapa
miststück,kurva
verrückter,őrült
lane,sáv
jungfrau,Szűz
einfache,egyszerű
nate,nate
laufe,fut
reingelegt,becsapott
seltsame,furcsa
heiratet,férjhez megy
angenehm,kellemes
daheim,otthon
planen,terv
klauen,lopni
geruch,szag
marty,marty
klingen,hang
tina,tina
nächster,következő
hörten,hallott
jackie,Jackie
trafen,találkozott
ungern,vonakodva
abgelehnt,elutasítva
erstens,első
abmachung,megállapodás
appetit,étvágy
miami,Miami
zeigte,mutatta
fan,ventilátor
hohen,magas
alf,alf
ladys,hölgyek
sms,sms
verkauf,eladás
jamie,Jamie
verbergen,elrejt
sorgt,biztosítja
karl,Karl
sohnes,fiú
berühmt,híres
aussteigen,kijárat
bonnie,Bonnie
ginge,menne
reingehen,menj be
durfte,engedélyezték
korrektur,javítás
wirft,dobások
titten,mellek
betreten,lépj be
todes,halál
one,egy
doctor,orvos
blöden,hülye
miles,mérföldre
rausholen,kiszállni
hohe,magasság
aufnahme,felvétel
by,által
holmes,holmes
hübscher,szebb
vegas,Vegas
manager,menedzser
stellung,pozíció
höhle,barlang
schokolade,csokoládé
angeboten,felajánlott
befreundet,barátok
weib,nő
ausgerechnet,minden dologból
walker,járóka
beibringen,tanít
nelson,nelson
ex,volt
belohnung,jutalom
seelen,lelkek
steine,kövek
garage,garázs
scheißkerl,faszfej
gestört,zavart
cooper,kádár
ruhen,pihenés
pillen,tabletták
gepäck,poggyász
carol,ének
norman,normann
zoe,zoe
amerikanischen,amerikai
telefonieren,telefonálni
heirate,házasodni
erkenne,felismerni
funk,rádió
grüß,üdvözlettel
hurensohn,rohadék
mögliche,lehetséges
spring,ugrás
uni,uni
scheinbar,látszólag
fakten,tények
informieren,tájékoztatni
jugend,ifjúság
feier,ünneplés
wenigen,kevés
söhne,fiai
benzin,benzin
nix,semmi
vampire,vámpírok
erkennt,felismeri
sicherer,biztonságosabb
zigaretten,cigaretta
dummes,hülye
mauer,fal
erneut,újra
flügel,szárny
schluck,korty
hierbleiben,maradj itt
abschluss,oklevél
christus,Krisztus
bezahle,fizetés
böses,gonosz
dummkopf,hülye
gerüchte,pletykák
eingestellt,készlet
m.,m.
weitergehen,lépj tovább
technik,technológia
ali,ali
bezweifle,kétség
piper,dudás
over,felett
gekostet,költség
anzeige,hirdetés
wohnst,élő
hans,Hans
ergebnis,eredmény
bedingungen,körülmények
brad,fejnélküli
aufzuhalten,megállni
versprich,ígéret
verdiene,megérdemlik
geschnappt,elkapták
francis,francis
eile,siet
innen,belső
italien,Olaszország
einig,egyetért
verhandeln,tárgyalni
weswegen,Miért
nützlich,hasznos
inneren,belső
gentleman,úriember
felix,felix
vergesse,felejtsd el
dunkle,sötét
warnung,figyelmeztetés
gemeinde,közösség
diamanten,gyémántok
wächst,nő
gewöhnlich,általában
seil,kötél
bär,medve
euro,euro
großartige,nagy
beth,Beth
ware,áruk
traurige,szomorúak
persönliche,személyes
figur,ábra
time,idő
roboter,robot
anschauen,megnézi
kürzlich,nemrég
material,anyag
paula,paula
käme,jönne
stellst,fel
bereitet,előkészített
einfallen,gyere fel
käfig,ketrec
fantasie,fantázia
brach,eltört
satz,mondat
kommissar,biztos
exzellenz,kiválóság
schuldest,tartozol
nass,nedves
rächen,bosszú
womöglich,esetleg
begrüßen,köszönt
lou,Lou
davis,Davis
überraschen,meglepetés
menschlichen,emberi
repariert,javítva
führung,útmutató
gestanden,bevallotta
jacob,Jacob
schütze,védeni
störe,zavarni
nina,nina
filmen,film
jobs,munkahelyek
maschinen,gépek
unterlagen,dokumentumokat
palast,palota
graben,dig
kette,lánc
auftauchen,felbukkan
interessante,érdekes
wovor,mitől
springt,ugrások
terroristen,terroristák
stan,stan
bekämpfen,harc
lärm,zaj
flehe,könyörög
aufgewachsen,nőtt fel
arbeiter,munkás
größere,nagyobb
humor,humor
betrachten,tekintettel
be,legyen
organisation,szervezet
widerstand,ellenállás
bergen,visszaszerez
studio,stúdió
hausaufgaben,házi feladat
vögeln,bassza meg
bescheuert,hülye
weggehen,Menj innen
teller,lemez
original,eredeti
revolution,forradalom
hitler,Hitler
mädel,lány
verbinden,csatlakozni
nathan,Nathan
ermittlungen,vizsgálatok
steck,dugó
wäsche,mosás
rätsel,rejtvény
besonderen,különleges
hunderte,több száz
versetzt,beszámítás
bibel,Biblia
heiliger,szentebb
reiß,könny
kopie,másolat
besitzen,saját
zeitungen,újságok
zurückgekommen,visszajött
süßes,édes
barbara,barbara
ungewöhnlich,szokatlan
höhe,magasság
geschaffen,létre
beschreiben,leírni
ausgesucht,kiválasztott
notwendig,szükséges
dunklen,sötét
ignorieren,figyelmen kívül hagyni
toter,halott
deck,fedélzet
narr,bolond
scheißegal,ne törődj vele
höchstens,legfeljebb
übersehen,elnézni
geirrt,téves
darunter,alul
außen,kívül
einzig,csak
stirbst,meghal
lhren,a tiéd
spielchen,játékok
girl,lány
fahrrad,kerékpár
nutte,kurva
wilde,vadakat
jordan,Jordánia
bequem,kényelmes
rauch,füst
verschiedenen,különböző
kamst,jött
l,l
betty,Betty
pool,medence
hubschrauber,helikopter
wüssten,tudná
erstmal,először is
kollege,kolléga
vernichtet,megsemmisült
gesichter,arcok
derselbe,azonos
hattet,volt
konto,fiókot
freie,ingyenes
casey,esetszerű
haken,horog
munition,lőszer
sünde,bűn
militär,katonai
gefasst,elkapták
anzeichen,jelek
geklappt,sikerült
hintergrund,háttér
erwähnen,említés
tipp,tipp
reißen,könny
keins,egyik sem
genial,ragyogó
berichte,jelentéseket
kram,szemét
schnapp,csattan
solle,kellene
randy,randy
umziehen,mozog
zunächst,első
keinerlei,egyik sem
typisch,tipikus
bietet,ajánlatokat
leb,élő
technologie,technológia
john-boy,john fiú
ruinieren,rom
jünger,fiatalabb
poirot,poirot
umso,annál inkább
starben,meghalt
rette,megtakarítás
triffst,találkozik
unhöflich,udvariatlan
safe,biztonságos
anzurufen,felhívni
universität,egyetemi
mai,május
heben,lift
koch,szakács
derselben,ugyanaz
katastrophe,katasztrófa
male,festék
olivia,Olivia
prüfung,teszt
brown,barna
gesetze,törvényeket
meeting,találkozó
versicherung,biztosítás
getragen,kopott
ehefrau,feleség
mitmachen,csatlakozik
tauschen,cserélni
ergebnisse,eredményeket
boston,Boston
reg,reg
einstellen,készlet
reagieren,reagál
gefehlt,hiányzó
verwandeln,átalakítani
gedauert,tartott
senden,elküld
blair,blair
reporter,riporter
abgeben,átadni
mm,mm
parker,parker
anhören,hallgat
bibliothek,könyvtár
japan,Japán
hinsetzen,leül
hannah,Hannah
serena,Serena
motiv,indíték
paige,paige
schalten,kapcsoló
derek,Derek
gewöhnen,megszokni
lernte,tanult
vereinigten,egyesült
gewicht,súly
zweiter,második
badezimmer,fürdőszoba
schieben,nyomja
dreimal,háromszor
weich,puha
echtes,igazi
zweitens,másodszor
drachen,sárkány
bahnhof,pályaudvar
erschöpft,kimerült
genauer,pontosabban
verlange,kereslet
spanisch,spanyol
verrat,árulás
hexen,boszorkányok
live,élő
legende,legenda
taub,süket
freu,boldog
konzert,koncert
hopp,hopp
wiederzusehen,újra látni
doppelt,kettős
last,terhelés
vergleich,összehasonlítás
böser,gonoszabb
herzlich,őszinte
monica,Monica
taschen,táskák
genügt,elég
besucher,látogatók
spanien,Spanyolország
großzügig,nagylelkű
teddy,maci
hauses,ház
leihen,kölcsönöz
scheiden,válás
einstellung,hozzáállás
köstlich,finom
watson,Watson
einheiten,egységek
wichtigen,fontos
go,megy
warne,figyelmeztet
russland,Oroszország
angeschossen,lövés
sammy,Sammy
pierre,pierre
sklaven,rabszolgák
laune,hangulat
gesamten,teljes
stille,csend
asche,hamu
geflogen,repült
spion,kém
what,Mi
aaron,Aaron
weihnachtsmann,Mikulás
hervorragend,fantasztikus
can,tud
verärgert,bosszús
puppe,baba
überfall,rajtaütés
unwichtig,jelentéktelen
santa,mikulás
linke,balra
übung,gyakorlat
buffy,buffy
franzosen,francia
wehgetan,fáj
schwäche,gyengeség
couch,kanapé
cousine,unokatestvér
grant,támogatást
atme,lélegzik
irgendeinem,bárki
unterstützt,támogatja
oscar,oscar
ausdruck,kifejezés
pleite,eltört
beleidigt,megsértődött
knopf,gomb
stop,Stop
schlimme,rosszakat
beweist,bizonyítja
katie,katie
dramatische,drámai
heutigen,ma
leere,üres
island,Izland
shane,Shane
daisy,százszorszép
trinkst,ital
heimlich,titkosan
eingehen,lépj be
rad,kerék
greift,megragadja
mächtig,erős
williams,Williams
sinnlos,értelmetlen
versaut,összevissza
netz,hálózat
atem,lehelet
anstellen,bérel
milliarden,milliárd
flotte,flotta
umgebung,közelébe
mitbringen,hozza magával
beteiligt,érintett
dunkeln,sötétedni
entwickeln,fejleszteni
schämen,szégyellve
erwachsene,felnőtt
zack,fellendülés
durchsuchen,böngészhet
hollywood,Hollywood
rollen,tekercs
vergesst,felejtsd el
tricks,trükkök
plätze,helyeken
gefangene,foglyok
sünden,bűnök
sender,adó
verlass,szabadság
räumen,világos
lerne,tanul
rettet,menti
hinweise,jegyzetek
ausreden,kifogásokat
alexander,Sándor
mommy,anyuci
diejenige,az egy
nächte,éjszakák
herrscht,érvényesül
bud,bimbó
jahres,év
dna,DNS
romantisch,romantikus
flüstert,suttogja
drück,sajtó
jeremy,Jeremy
bedanken,Köszönöm
verabredet,időpontot egyeztetni
pilot,pilóta
colt,Csikó
nigger,néger
reizend,bájos
grade,egyenes
stanley,Stanley
leib,test
stecke,megragadt
scheisse,szar
ärztin,orvos
vergewaltigt,megerőszakolták
mußt,kell
lieferung,szállítás
botschafter,nagykövet
studieren,tanulmány
köpfe,fejek
duschen,zuhany
kopfschmerzen,fejfájás
öl,olaj
knarre,nyikorog
sekretärin,titkár
phase,fázis
handschellen,bilincs
lewis,Lewis
versehen,feltéve
bande,zenekar
treu,hűséges
positiv,pozitív
meiste,legtöbb
museum,múzeum
albtraum,lidércnyomás
margaret,Margaret
verlobt,elkötelezett
besiegt,legyőzött
existieren,létezik
könne,tudott
proben,próbál
beschissen,gagyi
gewinne,győzelem
personal,személyzet
christian,keresztény
bewaffnet,fegyveres
fällen,esik
wecken,felébred
wirkung,hatás
kurt,Kurt
connor,Connor
rebecca,Rebecca
therapie,terápia
travis,travis
amüsieren,szórakoztat
ordentlich,szabályos
weglaufen,menekülni
aufgewacht,felébredt
nähern,megközelítés
decken,borító
sinne,érzékszervek
leutnant,hadnagy
zauberer,varázsló
hogan,Indián kunyhó
bittet,kérdi
ankunft,érkezés
klopft,kopogtat
abstand,távolság
bewusstsein,tudatosság
nation,nemzet
kontrolliert,ellenőrzött
treffer,találat
abnehmen,lefogy
ratten,patkányok
anwälte,ügyvédek
tempel,templom
vergiftet,megmérgezve
kunde,vevő
august,augusztus
wunden,sebek
unangenehm,kellemetlen
ausrüstung,felszerelés
segen,áldás
präsentiert,bemutatott
schließ,közeli
kehle,torok
krone,korona
garantiert,garantált
durchsucht,keresett
president,elnök
tracy,Tracy
verfluchte,átkozott
bestimmten,bizonyos
clay,agyag
ladies,hölgyek
b.,b.
ladung,díj
beinen,lábak
hell,fényes
kent,Kent
kapitel,fejezet
chase,üldözés
benutze,használat
alibi,alibi
ziele,célokat
bestie,vadállat
gus,gus
nirgends,sehol
wohnzimmer,nappali
beute,zsákmány
bau,épület
brennen,éget
lex,lex
durst,szomjúság
logan,logan
schwarzer,fekete
schmutzig,piszkos
liebhaber,szerető
ersetzen,helyettes
juli,július
verfahren,eljárást
kirk,Kirk
stiefel,csizma
inspector,ellenőr
allzu,is
camp,tábor
dürft,május
orten,helyeken
hitze,hőség
spielzeug,játék
tv,tv
gloria,gloria
wolle,gyapjú
knurrt,morog
meldet,jelentéseket
rita,rita
zone,Zóna
trocken,száraz
lincoln,lincoln
schreibst,írj
audrey,Audrey
quinn,quinn
probier,megpróbál
le,le
kids,gyerekek
unterschrieben,aláírva
do,csináld
heulen,kiáltás
entschlossen,eltökélt
paket,csomag
gefiel,tetszett
bekamen,kapott
netten,szépeket
geheime,titkos
jennifer,jennifer
aktiviert,aktív
ausweg,Kijárat
hinweg,el
schmuck,ékszerek
ausgang,kijárat
wunderschöne,gyönyörű
zurückkommt,visszajön
ann,Ann
illegal,illegális
ferien,ünnepek
persönlichen,személyes
geiseln,túszokat
segne,áldja meg
normaler,normálisabb
steuer,adó
aufgepasst,vigyázz
murphy,murphy
raumschiff,űrhajó
dummen,hülye
weißer,fehérebb
ausbildung,oktatás
klavier,zongora
hauptsache,fő dolog
admiral,admirális
entgegen,szemben
fasse,felfogni
strecke,útvonal
julian,Julian
version,változat
hilfreich,hasznos
schweren,nehéz
h,h
jahrelang,évekig
leeren,üres
küste,tengerpart
baron,báró
behörden,hatóság
grüße,üdvözlettel
geklärt,tisztázott
bruders,testvér
kaufte,vásárolt
stone,kő
puls,impulzus
blue,kék
flur,folyosó
denselben,ugyanaz
rettung,mentés
widerlich,undorító
parkplatz,parkolás
katzen,macskák
laster,helyettes
sozusagen,hogy úgy mondjam
mittwoch,szerda
unschuldige,ártatlanok
abwarten,Várjon
grandma,nagymama
florida,Florida
re,re
grünen,zöldek
könntet,tudott
aufnahmen,felvételeket
vision,látomás
schauspielerin,színésznő
passe,pass
sing,énekel
glückliche,boldogok
highschool,középiskola
friedhof,temető
irrtum,hiba
klienten,ügyfelek
nervt,bosszantó
leidet,szenved
reverend,tisztelendő
trainieren,vonat
gegenwart,jelenlegi
zurückbringen,visszahozni
herman,herman
protokoll,jegyzőkönyv
studenten,hallgatók
durchaus,teljesen
grausam,szörnyű
höchste,legmagasabb
verwickelt,érintett
schmecken,jó ízű
klappen,sikerül
apropos,beszélve
liz,liz
alfred,Alfred
ansonsten,egyébként
wade,borjú
missverständnis,félreértés
mitglieder,tagjai
motorrad,motorkerékpár
mickey,Miki
blicken,Nézze
glücklicher,boldogabb
hübschen,szép
dicke,vastagság
gewünscht,kívánatos
gejagt,vadászott
diejenigen,azok
diskutieren,megbeszélni
pinkeln,pisilni
huhn,csirke
erheben,emel
paradies,paradicsom
tagebuch,napló
möglichen,lehetséges
jenseits,túl
arschlöcher,seggfejek
apartment,lakás
mason,kőműves
pfeift,fütyül
dieselben,ugyanaz
wilden,vad
vergaß,elfelejtette
enttäuschen,csalódást okozni
greg,greg
konsequenzen,következményei
fleck,folt
macgyver,macgyver
führerschein,jogosítvány
online,online
bete,imádkozik
verdächtige,gyanúsítottak
enkel,unokája
normalen,normál
stift,toll
interview,interjú
süßen,édesítsd
riesige,hatalmas
aussicht,kilátások
ned,ned
wiederkommen,gyere vissza
werbung,hirdető
warf,dobta
telefoniert,telefonált
anblick,látvány
einzelnen,egyedi
teppich,szőnyeg
hielten,tartott
handel,kereskedelmi
gekannt,ismert
getrieben,hajtott
trainer,edző
scully,scully
schuh,cipő
bomben,bombák
kämpfer,harcos
victoria,victoria
bedenken,fontolja meg
sitzung,találkozó
ken,ken
sicheren,biztonságos
verkaufe,elad
ron,ron
tapfer,bátor
experiment,kísérlet
besorge,kap
tiefe,mélység
narren,bolond
abgeholt,felvette
abhalten,távol tartja magát
bestimmte,különös
laufenden,folyamatban van
auftaucht,jelenik meg
school,iskola
löschen,töröl
tara,tara
sebastian,Sebastian
mies,tetves
sarg,koporsó
r,r
vertragen,megtűrte
gebissen,megmart
geheimen,titkos
drinks,italokat
schlief,aludt
tradition,hagyomány
soeben,éppen
komische,viccesek
schultz,Schultz
aufgehalten,megállt
fähigkeit,képesség
attraktiv,vonzó
begriff,kifejezés
versichere,biztosítsa
schilde,pajzsok
legte,terített
mitteilen,közölni
sdh,sdh
gemütlich,kényelmes
muster,minta
versprach,ígért
überwachen,monitor
eingeschlafen,elaludt
schlimmsten,legrosszabb
verlierst,veszít
einzelne,egyedi
vergib,megbocsát
vorbeikommen,gyere át
aua,Jaj
brüste,mellek
sandwich,szendvics
gewinner,győztes
verständnis,megértés
g,G
raymond,Raymond
papst,pápa
toast,pirítós
matthew,Matthew
einsteigen,bejutni
löwen,nevezetességek
einsetzen,betét
gewinn,nyereség
schüchtern,félénk
scheinst,látszik
pflanzen,növény
green,zöld
sheldon,Sheldon
christopher,Christopher
hätt,volna
coach,edző
werte,értékeket
modell,modell
übernimmt,átveszi az irányítást
walton,walton
heftig,erőszakos
vorfall,incidens
motel,motel
teams,csapatok
irgendeinen,bárki
müsstest,kellene
freier,szabadabb
zirkus,cirkusz
ruhm,hírnév
zurzeit,jelenleg
ausmachen,kapcsolja ki
rezept,receptet
töchter,lányai
laute,hangos
akzeptiert,elfogadott
geschwindigkeit,sebesség
beliebt,népszerű
verpflichtet,köteles
betrüger,csaló
lohnt,megéri
märchen,tündérmese
blöder,hülyébb
becky,Becky
wille,akarat
hügel,hegy
königreich,királyság
dennis,Dennis
kehren,söpörni
baut,épít
chinesen,kínai
gesichert,biztosított
michel,Michel
ruth,Ruth
block,tömb
belogen,hazudott
malen,festék
kofferraum,törzs
road,út
bursche,fickó
erin,erin
geständnis,gyónás
ausgegangen,kiment
begreifen,megérteni
dana,Dana
blitz,vaku
löst,megoldja
furcht,félelem
jersey,mez
ernstes,súlyos
verteilt,megosztott
bezüglich,hivatkozással
faszinierend,elbűvölő
aufmerksam,figyelmes
aufregung,izgalom
wendy,wendy
ethan,ethan
orte,helyeken
entführung,emberrablás
keucht,zihál
erhielt,kapott
treue,hűség
felsen,szikla
malcolm,Malcolm
kurzen,rövid
zorn,harag
taucht,merülések
bestimmen,határozzák meg
ausgesetzt,kitett
zurückgeben,visszatérés
verkehr,forgalom
bewiesen,igazolt
generation,generáció
liebste,kedvenc
ausrichten,igazítani
ausnahme,kivétel
ebene,szint
herrlich,pompás
stürzen,esik
herausforderung,kihívás
gefälligst,ha kérem
farben,színek
geliebten,szeretteit
ankommen,megérkezik
tempo,tempó
unterbrechen,megszakítani
kindes,gyermek
babe,kisbaba
erden,Föld
schrecklichen,szörnyű
falsches,rossz
täuschen,megtéveszteni
tal,völgy
irgendwer,bárki
deins,a tiéd
witwe,özvegy
sichern,biztonságos
gerede,beszélgetés
betrug,csalás
trauer,bánat
anwesenheit,jelenlét
bilden,forma
gewachsen,felnőtt
ausflug,oldalsó kirándulás
jill,jill
verlaufen,Menj a francba
rand,él
kenny,Kenny
rechnen,kiszámítani
aufzug,lift
befragen,kérdés
wegnehmen,elvenni
abschied,búcsú
benötigen,igény
pst,psst
amt,kormányhivatal
reiche,gazdag
otto,ottó
beginn,indul
daumen,hüvelykujj
bestrafen,megbüntetni
clarence,Clarence
weine,kiáltás
fremder,idegen
sachte,gyengéden
identifiziert,azonosított
gestehen,gyónni
mac,mac
owen,owen
morris,morris
riesig,gigantikus
entscheide,dönt
koma,kóma
prinzen,hercegek
bewusstlos,öntudatlan
county,megye
marke,márka
harter,nehezebb
hill,hegy
höflich,udvarias
jude,zsidó
setzte,ült
besorg,aggodalom
absichtlich,szándékosan
vermasselt,felcsavarva
verschlossen,zárt
sowie,valamint
gesang,éneklés
gedreht,elforgatva
ford,ford
religion,vallás
ey,szia
unterschrift,aláírás
rosen,rózsákat
persönliches,személyes
queen,királynő
fortschritte,előrehalad
eingang,bejárat
zugehört,hallgatott
biete,ajánlat
clara,Clara
vorhaben,terv
kultur,kultúra
patientin,beteg
stephen,István
explodiert,felrobban
nichte,unokahúg
verzichten,lemondani
steven,Steven
harris,harris
existenz,létezés
drehbuch,forgatókönyv
football,futball
anzusehen,megtekintésére
ohnmächtig,elájult
zaun,kerítés
anthony,Anthony
geladen,töltött
guckt,úgy néz ki
privat,magán
peg,szeg
brauchten,szükséges
liam,Liam
heb,Heb
virginia,Virginia
wächter,őr
eimer,vödör
blasen,fúj
rakete,rakéta
salz,só
unfair,tisztességtelen
verzeiht,megbocsát
esel,szamár
krankenschwester,nővér
symbol,szimbólum
entscheidet,dönt
fahrzeug,jármű
unterwäsche,fehérneműt
betrachtet,figyelembe vett
bauern,gazdálkodók
engländer,angol
wartete,várt
schaust,Nézze
genossen,élvezte
tropfen,cseppek
probiert,kipróbált
spock,spock
café,kávéház
verhungern,éhezés
versuchten,kipróbált
mütter,anyák
september,szeptember
aktion,akció
bestanden,átment
haaren,haj
louise,Louise
schluchzt,zokog
übertrieben,túlzott
heilmittel,jogorvoslatok
apparat,berendezés
vorm,előtt
friedlich,békés
richtiges,helyes
zuschauer,nézők
teenager,tizenéves
geliefert,szállított
may,május
gestritten,érvelt
maus,egér
lediglich,csak
charakter,karakter
riley,Riley
krass,hűvös
weiterer,további
group,csoport
ricky,ricky
diana,Diana
geräusche,zajok
lichter,fények
starken,erősíteni
dexter,dexter
staffel,repülőszázad
flaschen,palackok
putzen,tisztítás
einbruch,betörés
geheilt,gyógyult
beißen,harapás
nicole,Nicole
stammen,származnak
wände,falak
befürchte,félelem
kostüm,ruha
warren,warren
grüßen,köszönt
versagen,nem sikerül
übernommen,átvette
hoffte,remélte
verschieben,mozog
verspätung,késés
whiskey,whisky
mars,Mars
media,média
entdecken,felfedezni
traue,bizalom
thron,trón
riesigen,hatalmas
zelt,sátor
akzent,hangsúly
truppe,csapat
übertragen,továbbított
kompliment,bók
flammen,láng
erkennst,felismerni
erschrecken,megijeszt
gemälde,festés
ari,ari
walt,walt
chip,chip
mannschaft,csapat
cindy,Cindy
loyalität,hűség
benjamin,Benjámin
dankeschön,Köszönöm szépen
vertreten,képviselni
verhandlung,tárgyalás
lernst,tanul
brüllt,ordít
füllen,töltse ki
letztendlich,végül
krise,válság
verlierer,vesztes
spencer,spencer
with,-vel
kekse,sütiket
ausschalten,kapcsolja ki
penis,hímvessző
profi,szakmai
whisky,whisky
erledige,csináld
gelächter,nevetés
fängst,fogás
erklär,megmagyarázni
einspruch,kifogás
angeln,halászat
rausgehen,kimegy
monk,szerzetes
kaution,letét
eures,a tiéd
gesessen,ült
verrate,elárul
kehrt,visszatér
boy,fiú
summe,összeg
lade,terhelés
billig,olcsó
curtis,curtis
bernard,Bernard
juni,június
gerissen,szakadt
festgenommen,letartóztatott
ralph,ralph
befohlen,elrendelte
überlege,fontolja meg
koordinaten,koordináták
flog,repült
herzinfarkt,szívroham
hinlegen,feküdj le
nahrung,élelmiszer
liege,hazugság
geflohen,elmenekült
knall,bumm
nebenbei,mellette
mylord,uram
nachbar,szomszéd
küss,csók
lhrem,a tiéd
geleistet,teljesítve
nutzt,használ
fröhliche,boldogok
nebel,köd
front,elülső
veränderung,változás
affe,emberszabású majom
kontaktieren,érintkezés
brand,Tűz
fuhren,ólom
zwischenzeit,addig is
eingesetzt,használt
anton,anton
philip,Philip
megan,megan
schlimmeres,rosszabb
rennt,fut
anlegen,befektetni
nachzudenken,gondolkodni
schwör,esküszik
übliche,szokásos
kreatur,teremtmény
verderben,zsákmány
medizinische,orvosi
besetzt,megszállt
zugriff,hozzáférés
kanal,csatorna
blutdruck,vérnyomás
grüne,zöld
ausgeben,tölt
papi,apu
clown,bohóc
lhrer,a tiéd
sonny,fiacskám
schwören,esküszik
hühnchen,csirke
arten,faj
aufgebaut,felépített
sydney,Sydney
betrügen,megtéveszteni
steele,steele
trank,ivott
glatt,sima
trainiert,kiképzett
indien,India
autor,szerző
geweint,kiáltott
blume,virág
verletzungen,sérülések
special,különleges
zwillinge,Ikrek
mia,mia
reißt,könnyek
zeigst,megmutat
stirb,meghal
justin,Justin
diane,diane
gefickt,szar
schlägst,veri
moskau,Moszkva
erwartest,elvárják
gestoßen,megütközött
durchgehen,menjen át
praxis,gyakorlat
gründlich,alapos
benny,benny
eingeschlossen,tartalmazza
tragödie,tragédia
vollständig,teljes
psychiater,pszichiáter
rasse,verseny
lance,lándzsa
vertraust,megbízott
kummer,bánat
eigener,saját
christine,Christine
partei,fél
zentrum,központ
testament,végrendelet
entfernung,távolság
private,magán
welten,világok
verlegen,zavart
heroin,heroin
erfuhr,tanult
gelände,terep
kutsche,edző
dummer,hülyébb
homer,Homérosz
stabil,stabil
ausgeschlossen,kizárva
out,ki
draus,ki
aufgehoben,felemelték
single,egyetlen
regisseur,igazgató
vielmals,sokszor
dylan,dylan
bestand,létezett
k,k
erbe,örökség
weggelaufen,elszaladt
jim-bob,jim bob
noah,Noé
leichte,fény
zuständig,felelős
losgehen,elmegy
long,hosszú
hustet,köhögés
brutal,brutálisan
besprochen,megbeszélték
halbes,fél
bargeld,készpénz
peggy,Peggy
action,akció
zusammenarbeiten,együtt dolgozni
beunruhigt,aggódó
achte,nyolcadik
innere,belső
kanone,ágyú
eklig,undorító
x,x
armes,szegény
avenue,sugárút
öffentlich,nyilvános
nützt,hasznos
marine,tengeri
brillant,ragyogó
köder,csali
gespräche,beszélgetések
nähert,megközelítések
vorgehen,folytassa
kleinigkeit,apróság
kissen,párna
manny,Manny
geisel,túsz
gerecht,éppen
trost,kényelem
gehasst,gyűlölt
a.,a.
gesorgt,gondoskodott
archer,íjász
spinner,fonógép
vergebung,megbocsátás
vieh,marha
schnelle,gyors
normales,normál
gefesselt,megkötözve
lautes,hangos
kalte,hideg
leitet,irányítja
angehen,megbirkózni
ekelhaft,undorító
salat,saláta
schicht,réteg
intelligent,intelligens
meg,meg
verhältnis,kapcsolat
socken,zokni
brieftasche,pénztárca
holly,magyal
packt,csomagokat
eventuell,esetleg
nirgendwohin,sehol
methode,módszer
gelangen,elérheti
gespannt,feszült
vernunft,ok
zurückgehen,menj vissza
regnet,esik az eső
drama,dráma
entspannt,nyugodt
wörter,szavak
klingeln,gyűrű
ruhige,csendes
sprung,ugrás
anständig,tiszteletreméltó
gangster,gengszter
harten,kemény
aufzeichnungen,rekordokat
ofen,sütő
cowboy,cowboy
endgültig,végül
aufgaben,feladatokat
ruh,csendes
deutsch,német
neil,Neil
wodka,vodka
know,tud
air,levegő
respektieren,tisztelet
riskant,kockázatos
lohn,fizetés
zuviel,Túl sok
zustimmen,egyetért
schnaps,folyadék
troy,Trója
stufe,szint
erleichtert,megkönnyebbülten
scheune,istálló
vanessa,Vanessa
klink,zörög
spaziergang,séta
katherine,Katherine
zettel,jegyzet
kotzen,hányás
blödmann,hülye
hurra,Hurrá
lana,lana
symptome,tünetek
vorfahren,ősök
nutzlos,hiábavaló
shaw,shaw
telefonnummer,telefonszám
nochmals,újra
grey,szürke
medien,média
faul,lusta
dient,szolgál
russell,Russell
ereignisse,eseményeket
aussuchen,válasszon
verprügelt,összeverték
zweites,második
sherlock,Sherlock
fabelhaft,mesés
klinge,penge
leistung,teljesítményt
beileid,együttérzés
castle,vár
durchführen,végrehajtani
mitchell,Mitchell
eröffnen,nyitott
unschuld,ártatlanság
seist,legyen
stoßen,ütődés
palmer,zarándok
like,mint
genügend,elég
sofa,pamlag
gestatten,engedje meg
gekocht,főtt
biest,vadállat
lydia,lydia
bräuchte,szüksége lenne
ausgelöst,kiváltotta
väter,apák
verarscht,megbolondítva
butter,vaj
nachbarschaft,szomszédságában
villa,villa
data,adat
goldene,aranyakat
schließe,közeli
saft,lé
begehen,elkövetni
hauptquartier,központ
geschworen,hites
abgenommen,levette
werkstatt,műhely
überreden,meggyőzni
nannten,hívott
